id,uuid,entity_id,device_id,is_active,created_at,updated_at,tenant_id
241,0d03cd3c-0ae0-49f3-9ab0-b29086975ad0,231,154,0,2020-12-24 15:39:19,2021-04-05 15:00:39,56
559,b0488c3c-0986-4d31-a54c-558905070e82,546,324,0,2021-01-06 06:29:43,2021-04-05 15:00:40,56
560,20895fdd-3490-4145-8202-bb80ffc7ea98,547,325,0,2021-01-06 06:30:06,2021-04-05 15:00:40,56
561,0568bb0d-a8d1-42a9-b6c6-47ca11ddd548,548,326,0,2021-01-06 06:30:27,2021-04-05 15:00:40,56
696,ae04d10e-8495-4cbf-9485-d5fae31fb5d3,604,324,0,2021-01-19 19:15:47,2021-04-05 15:00:40,56
697,fa2f16d9-e9bc-4bf8-b863-bb8a24b427fe,605,325,0,2021-01-19 19:16:48,2021-04-05 15:00:40,56
698,71dd5dbd-a9d3-4436-8c5e-5ef2a62c23e0,606,326,0,2021-01-19 19:17:53,2021-04-05 15:00:40,56
835,31b9d8f8-f4c8-4ca9-9bcd-23f9e56b8383,682,325,0,2021-03-11 16:47:36,2021-04-05 15:00:41,56
836,9f632b54-6ad7-475a-85dc-61123a2211ee,682,324,1,2021-03-11 20:09:23,2021-04-05 15:00:41,56
840,09c457fe-440c-4de5-8f5f-2332fbc07190,1628,1175,0,2021-03-26 23:00:20,2021-04-19 14:46:29,56
841,214da876-0761-4790-84d4-2751168cb799,1552,374,0,2021-03-26 23:09:47,2021-04-19 14:20:55,56
842,bdc13f51-355e-4c75-a477-07599759fe2b,1426,1234,0,2021-03-26 23:26:11,2021-04-19 15:06:30,56
843,c074c39e-c118-41e8-9b61-74b6aa528549,1478,396,0,2021-03-28 18:34:57,2021-04-17 15:19:17,56
844,78ff4692-605b-476c-b1e9-13d27e0d523b,971,731,0,2021-03-28 18:39:05,2021-04-15 02:07:22,56
845,61d9b2d0-d179-44f0-90e8-12d77e058633,1811,384,0,2021-03-28 18:39:30,2021-04-19 14:52:56,56
846,274ad948-2260-4144-8970-294a186b1aea,1541,396,0,2021-03-28 19:12:27,2021-04-16 02:14:02,56
847,58827023-d55c-414b-9375-0011e8424853,1048,396,0,2021-03-28 19:40:31,2021-04-19 15:32:44,56
848,003b1cbe-7662-478e-be44-0701147a69f9,1511,396,0,2021-03-28 19:50:08,2021-04-19 15:03:29,56
849,d8fad404-1ff0-4211-b0d5-249273e54853,1514,713,0,2021-03-29 19:26:47,2021-04-19 16:40:20,56
850,b7146c97-2949-4cd3-936d-887a8479ec4a,808,384,0,2021-03-29 19:27:30,2021-04-19 07:01:46,56
851,a7171778-492d-476a-9307-792a357d3877,862,362,0,2021-03-29 19:28:08,2021-04-19 15:09:14,56
852,b7088868-4a55-4d2f-8740-1e9347fa5d6d,858,730,0,2021-03-29 19:28:29,2021-04-19 15:01:16,56
853,074fcb83-864c-4592-9785-d161479d7a9e,895,378,0,2021-03-29 19:28:50,2021-04-19 15:25:23,56
854,14fc44a6-e6c2-469f-a6ff-b077d254604f,1017,371,0,2021-03-29 19:29:07,2021-04-19 15:01:46,56
855,7555bd6a-0777-4e73-9f9b-be545586a39c,1016,395,0,2021-03-29 19:29:32,2021-04-17 15:14:36,56
856,78f66795-b336-4943-9a27-4e3dd059090e,807,714,0,2021-03-29 19:29:57,2021-04-19 14:36:06,56
857,a163dfcc-fb73-49f3-b4e1-0e3f415c95b9,1600,396,0,2021-03-29 19:30:26,2021-04-16 15:25:01,56
858,d592d79f-bed5-4935-8bde-d0b233917201,1695,375,0,2021-03-29 19:30:47,2021-04-19 14:36:13,56
859,026a7075-7831-4f82-90ee-a5015c023939,699,374,0,2021-03-29 19:31:00,2021-04-19 14:20:55,56
860,08f92397-d5a6-4383-b579-cf89bb8cea25,1019,731,0,2021-03-29 19:31:10,2021-04-18 04:05:42,56
861,b2c90d12-ed73-47e5-aec5-8f64664e2a55,1519,368,0,2021-03-29 19:31:18,2021-04-19 15:19:03,56
862,68c3e44d-f3f5-4520-96b9-69b3e440fcc4,894,732,0,2021-03-29 19:31:30,2021-04-19 04:07:05,56
863,8ca2e76d-2a2e-4323-b58c-adbc89b9631a,1123,725,0,2021-03-29 19:31:44,2021-04-19 15:10:23,56
864,eacc5605-a6f3-4175-b09f-1c93f428625e,1962,394,0,2021-03-29 19:32:01,2021-04-19 16:00:08,56
865,24c63502-878f-4a19-8406-ef269b176f3a,1950,369,0,2021-03-29 19:32:22,2021-04-18 04:38:50,56
866,8299d52c-0215-47b4-a96a-b43c4486fb84,1141,385,0,2021-03-29 19:32:48,2021-04-19 15:02:24,56
867,d293d3fc-cdfa-459f-b252-48fe09f3e932,1135,701,0,2021-03-29 19:33:02,2021-04-18 02:57:25,56
868,f59293a1-3bd2-4465-86b8-7ac3de07b815,1174,376,0,2021-03-29 19:33:19,2021-04-19 15:25:35,56
869,1adb49d3-ab7c-41e3-be2f-58f04d43dc6a,1570,386,0,2021-03-29 19:33:36,2021-04-19 15:02:36,56
870,467470a6-b69c-46bc-9959-d71d1fd93435,982,354,0,2021-03-29 19:33:59,2021-04-19 15:28:43,56
871,678d7cec-866f-4ea6-9639-2d6efe6de76b,1177,712,0,2021-03-29 19:34:23,2021-04-19 15:20:32,56
872,25a518b4-19d3-43f6-a161-5121ce8bc0e8,1473,722,0,2021-03-29 19:34:36,2021-04-19 15:09:05,56
873,978d0e0d-55c8-49b0-928e-b7d31621debc,1334,723,0,2021-03-29 19:34:51,2021-04-19 15:05:41,56
874,8c1089e1-c880-4809-b7c3-c8ef518cafc3,1451,365,0,2021-03-29 19:35:20,2021-04-17 15:03:23,56
875,753e170b-c9f4-497e-9353-a05d07f416bc,1449,741,0,2021-03-29 19:35:34,2021-04-19 15:03:00,56
876,51854c0d-43ca-4005-8b9f-57c7de89d231,1410,721,0,2021-03-29 19:35:48,2021-04-19 15:08:57,56
877,780213ea-a0b0-4b67-8cc2-ee7593b2d90d,1184,355,0,2021-03-29 19:36:02,2021-04-19 15:17:38,56
878,4a2ddd89-ec64-4b6b-a8d4-89872d8bcc11,1180,366,0,2021-03-29 19:36:12,2021-04-19 16:40:20,56
879,df177b1a-f2aa-4f93-9dbb-dec2e667cd58,1686,711,0,2021-03-29 19:36:20,2021-04-19 15:10:08,56
880,f04de308-97ee-48a4-a2d7-5e6788d16cb7,1687,356,0,2021-03-29 19:36:34,2021-04-19 15:09:58,56
881,a3fe30e8-64ae-4d13-9e86-5b8eb35123ef,1011,740,0,2021-03-29 19:36:49,2021-04-19 15:05:08,56
882,9e1a87b4-b9cf-4278-b7f3-90cf755ec479,1750,710,0,2021-03-29 19:37:06,2021-04-19 14:48:36,56
883,a59ee1f7-5cba-4907-9aab-74c6c20ddf5e,1179,700,0,2021-03-29 19:37:18,2021-04-19 14:48:42,56
884,714d73e8-5a7d-4a41-9704-147ea47dda51,1920,367,0,2021-03-29 19:37:33,2021-04-19 15:10:05,56
885,6b0056e2-a8a6-4803-a349-e436d0e02b0c,943,377,0,2021-03-29 19:37:46,2021-04-19 14:52:28,56
886,f0c60fbf-3b49-47b1-a316-08d51eb0e68f,1127,720,0,2021-03-29 19:38:01,2021-04-19 15:43:59,56
887,1658703b-d0b2-4f3e-9550-a1389934b194,1685,387,0,2021-03-29 19:38:10,2021-04-19 15:43:48,56
888,cd286771-6dfd-4b08-aa2e-488fbd43622c,1499,397,0,2021-03-29 19:38:20,2021-04-19 15:03:37,56
889,c486b9dd-9270-4b68-8c9b-a165f6b22fe9,1124,357,0,2021-03-29 19:38:28,2021-04-19 15:20:39,56
890,95de9162-9c28-4dd6-b99a-361c84184908,1005,398,0,2021-03-29 19:38:36,2021-04-19 14:54:08,56
